S.N,Province,District,Total Cases,Active Cases,Total Recovered,Total Deaths,Latitude,Longitude
1,Sudur Paschim,Achham,495,285,209,1,29.107758,81.235442
2,5,Arghakhanchi,394,17,375,2,27.977663,83.128223
3,Gandaki,Baglung,301,38,262,1,28.276971,83.579071
4,Sudur Paschim,Baitadi,256,65,191,0,29.5186,80.4688
5,Sudur Paschim,Bajhang,274,181,92,1,29.7767,81.2519
6,Sudur Paschim,Bajura,581,264,316,1,29.6155,81.6035
7,5,Banke,602,123,477,2,28.051018,81.62859
8,2,Bara,279,119,156,4,27.1341,85.0649
9,5,Bardiya,256,52,204,0,28.3102,81.4279
10,Bagmati,Bhaktapur,84,26,58,0,27.671,85.4298
11,1,Bhojpur,8,2,6,0,27.1891,87.0224
12,Bagmati,Chitwan,152,51,100,1,27.5291,84.3542
13,Sudur Paschim,Dadeldhura,282,89,193,0,29.2188,80.4994
14,Karnali,Dailekh,975,65,908,2,28.9262,81.6473
15,5,Dang,699,124,574,1,27.9904,82.3018
16,Sudur Paschim,Darchula,39,8,31,0,29.8812,80.7658
17,Bagmati,Dhading,152,13,139,0,27.9711,84.8985
18,1,Dhankuta,16,4,12,0,27.0074,87.3414
19,2,Dhanusa,858,269,586,3,26.835,86.0122
20,Bagmati,Dolakha,17,4,12,1,27.7784,86.1752
21,Karnali,Dolpa,5,4,0,1,29.0539,83.0791
22,Sudur Paschim,Doti,732,252,480,0,29.2006,80.8987
23,Gandaki,Gorkha,125,26,98,1,28.4764,84.6897
24,5,Gulmi,375,111,261,3,28.0889,83.2934
25,Karnali,Humla,4,1,3,0,30.0052,81.9535
26,1,Ilam,80,30,50,0,26.876,87.9335
27,Karnali,Jajarkot,28,6,22,0,28.8651,82.1714
28,1,Jhapa,358,58,300,0,26.6398,87.8942
29,Karnali,Jumla,79,9,70,0,29.2788,82.1278
30,Sudur Paschim,Kailali,1269,576,689,4,28.8314,80.8987
31,Karnali,Kalikot,74,22,52,0,29.2089,81.7349
32,Sudur Paschim,Kanchanpur,578,188,390,0,28.8372,80.3213
33,5,Kapilbastu,891,96,794,1,27.6542,82.9932
34,Gandaki,Kaski,209,51,157,1,28.2622,84.0167
35,Bagmati,Kathmandu,992,422,566,4,27.7307,85.3756
36,Bagmati,Kavrepalanchok,33,14,19,0,27.5259,85.5612
37,1,Khotang,16,1,15,0,27.2317,86.822
38,Bagmati,Lalitpur,135,59,74,2,27.542,85.3343
39,Gandaki,Lamjung,118,50,68,0,28.2765,84.3542
40,2,Mahottari,917,221,696,0,26.6943,85.823
41,Bagmati,Makwanpur,88,23,65,0,27.5546,85.0233
42,Gandaki,Manang,1,0,1,0,28.6667,84.0167
43,1,Morang,546,178,363,5,26.6799,87.4604
44,Karnali,Mugu,12,4,8,0,29.5069,82.0843
45,Gandaki,Mustang,1,0,1,0,28.9985,83.8473
46,Gandaki,Myagdi,52,18,33,1,28.6029,83.3362
47,Gandaki,Nawalparasi East,330,117,213,0,27.786141,84.122228
48,5,Nawalparasi West,143,49,94,0,27.607916,83.729627
49,Bagmati,Nuwakot,51,19,32,0,27.8866,85.1479
50,1,Okhaldhunga,23,2,21,0,27.3619,86.3782
51,5,Palpa,563,274,289,0,27.8253,83.6348
52,1,Panchthar,7,2,5,0,27.2036,87.8157
53,Gandaki,Parbat,99,26,73,0,28.178,83.6987
54,2,Parsa,1016,400,599,17,27.1736,84.8568
55,5,Pyuthan,363,88,275,0,28.1017,82.8533
56,Bagmati,Ramechhap,46,11,35,0,27.3193,86.1039
57,Bagmati,Rasuwa,12,10,2,0,28.1727,85.3136
58,2,Rautahat,1513,158,1353,2,27.0487,85.3136
59,5,Rolpa,69,6,63,0,28.3816,82.6483
60,5,Rukum East,12,9,3,0,28.812783,82.418485
61,Karnali,Rukum West,42,23,19,0,28.594269,82.665031
62,5,Rupandehi,364,54,309,1,27.6264,83.3789
63,Karnali,Salyan,234,35,199,0,28.3525,82.1278
64,1,Sankhuwasabha,16,3,13,0,27.6142,87.1423
65,2,Saptari,577,115,460,2,26.6173,86.7014
66,2,Sarlahi,856,132,722,2,26.9627,85.5612
67,Bagmati,Sindhuli,23,9,14,0,27.2569,85.9713
68,Bagmati,Sindhupalchok,70,29,39,2,27.9512,85.6846
69,2,Siraha,235,54,180,1,26.6397,86.1853
70,1,Solukhumbu,8,5,3,0,27.791,86.6611
71,1,Sunsari,213,65,148,0,26.6276,87.1822
72,Karnali,Surkhet,631,158,472,1,28.5175,81.7787
73,Gandaki,Syangja,348,56,290,2,28.0197,83.8049
74,Gandaki,Tanahu,178,66,112,0,27.9447,84.2279
75,1,Taplejung,15,4,11,0,27.354,87.668
76,1,Terhathum,8,0,8,0,27.1984,87.5
77,1,Udayapur,89,8,81,0,26.8998,86.7014
