S.N,Province,District,Total Cases,Active Cases,Total Recovered,Total Deaths,lat,lon
1,7,Achham,495,285,209,1,81.29711239175032,29.11256817441899
2,5,Arghakhanchi,394,17,375,2,83.07931919696372,27.908546382344674
3,4,Baglung,301,38,262,1,83.25046309844504,28.347502509289278
4,7,Baitadi,256,65,191,0,80.5715166401557,29.507541031228143
5,7,Bajhang,274,181,92,1,81.17871770328547,29.70824516295018
6,7,Bajura,581,264,316,1,81.56316251291287,29.561322426006946
7,5,Banke,602,123,477,2,81.82228931219758,28.087169830604648
8,2,Bara,279,119,156,4,85.07064142997248,27.10795953654191
9,5,Bardiya,256,52,204,0,81.40151534237341,28.383668908446907
10,3,Bhaktapur,84,26,58,0,85.44078719752078,27.677690383606485
11,1,Bhojpur,8,2,6,0,87.06789158534279,27.181814756262927
12,3,Chitwan,152,51,100,1,84.43453047394196,27.584942259802776
13,7,Dadeldhura,282,89,193,0,80.48906942024193,29.223121930278026
14,6,Dailekh,975,65,908,2,81.67887551495463,28.881388856821488
15,5,Dang,699,124,574,1,82.41038219013221,27.9641441834616
16,7,Darchula,39,8,31,0,80.7918926088294,29.89194957501019
17,3,Dhading,152,13,139,0,84.96016032720414,27.95470746839677
18,1,Dhankuta,16,4,12,0,87.33094988258415,26.990930640958236
19,2,Dhanusa,858,269,586,3,86.03388019638834,26.82874155006638
20,3,Dolakha,17,4,12,1,86.19861865752415,27.785721137068425
21,6,Dolpa,5,4,0,1,83.05217011480939,29.170655636885265
22,7,Doti,732,252,480,0,80.89456957808088,29.16964209002901
23,4,Gorkha,125,26,98,1,84.79017695666025,28.318827196979157
24,5,Gulmi,375,111,261,3,83.30702478352003,28.0938944697723
25,6,Humla,4,1,3,0,81.87986556263559,30.032322376583448
26,1,Ilam,80,30,50,0,87.90156852180151,26.881160914669856
27,6,Jajarkot,28,6,22,0,82.16787118974287,28.865380352837356
28,1,Jhapa,358,58,300,0,87.91323301163462,26.58454270753889
29,6,Jumla,79,9,70,0,82.21726673306102,29.2717137976417
30,7,Kailali,1269,576,689,4,80.87922460540291,28.741641922944602
31,6,Kalikot,74,22,52,0,81.75203278875941,29.195115462213877
32,7,Kanchanpur,578,188,390,0,80.32179602711126,28.861823786795433
33,5,Kapilbastu,891,96,794,1,82.9814859011405,27.62780374249157
34,4,Kaski,209,51,157,1,83.9973481375455,28.354946496492463
35,3,Kathmandu,992,423,566,3,85.34735132692755,27.728201081500877
36,3,Kavrepalanchok,33,14,19,0,85.61948290583136,27.535356393143648
37,1,Khotang,16,1,15,0,86.78703712216247,27.16810228051496
38,3,Lalitpur,135,59,74,2,85.34268866827021,27.53968576100482
39,4,Lamjung,118,50,68,0,84.43005349109238,28.289315668818336
40,2,Mahottari,917,221,696,0,85.81991252749117,26.87913299056696
41,3,Makwanpur,88,23,65,0,85.07919101599765,27.46996511067159
42,4,Manang,1,0,1,0,84.22451544738435,28.672919154212924
43,1,Morang,546,179,363,4,87.47019221726812,26.617486100455462
44,6,Mugu,12,4,8,0,82.37059299567566,29.618074811643748
45,4,Mustang,1,0,1,0,83.85787282576845,28.981314491461877
46,4,Myagdi,52,18,33,1,83.45999324326222,28.55314670436513
47,4,Nawalparasi East,330,117,213,0,84.06217377809206,27.687392178263675
48,5,Nawalparasi West,143,49,94,0,83.73871051466158,27.52825076350813
49,3,Nuwakot,51,19,32,0,85.23538711779086,27.915073265545026
50,1,Okhaldhunga,23,2,21,0,86.41865849345893,27.329502044267212
51,5,Palpa,563,274,289,0,83.62365185219312,27.81737243284483
52,1,Panchthar,7,2,5,0,87.77579807095165,27.114999613984395
53,4,Parbat,99,26,73,0,83.67889009696688,28.21130031987063
54,2,Parsa,1016,401,599,16,84.7801630348537,27.239687355458578
55,5,Pyuthan,363,88,275,0,82.86502527526966,28.11545386122936
56,3,Ramechhap,46,11,35,0,86.17737024301981,27.51361408075647
57,3,Rasuwa,12,10,2,0,85.41594692791568,28.183248202537012
58,2,Rautahat,1513,158,1353,2,85.30233086363795,27.00157408229383
59,5,Rolpa,69,6,63,0,82.62805588402239,28.3441663491406
60,5,Rukum East,12,9,3,0,82.81088475092417,28.673989710571888
61,6,Rukum West,42,23,19,0,82.46045156349274,28.7388378634818
62,5,Rupandehi,364,54,309,1,83.38955026950569,27.57667811567025
63,6,Salyan,234,35,199,0,82.13874784335462,28.39649855398913
64,1,Sankhuwasabha,16,3,13,0,87.2782123206502,27.58212973365446
65,2,Saptari,577,115,460,2,86.7461376563257,26.598120783222694
66,2,Sarlahi,856,132,722,2,85.56531220869545,26.986159229293165
67,3,Sindhuli,23,9,14,0,85.94376814650762,27.20146689162705
68,3,Sindhupalchok,70,29,39,2,85.73962867740835,27.91497245528677
69,2,Siraha,235,54,180,1,86.34242043781619,26.74645805665663
70,1,Solukhumbu,8,5,3,0,86.72051571046595,27.71052185331256
71,1,Sunsari,213,65,148,0,87.17004295990401,26.65061352129045
72,6,Surkhet,631,158,472,1,81.58640782129241,28.641183310260917
73,4,Syangja,348,56,290,2,83.80321443774628,28.0211067236042
74,4,Tanahu,178,66,112,0,84.25119463325599,27.955370177536444
75,1,Taplejung,15,4,11,0,87.82179927135704,27.58212356597509
76,1,Terhathum,8,0,8,0,87.5489515139999,27.15438825157303
77,1,Udayapur,89,8,81,0,86.68134767726373,26.90308014899322
