S.N.,Province,District,Total Cases,Total Recoveries,Total Deaths,lat,lon
1,1,Morang,500,218,4,87.47019221726812,26.617486100455462
2,1,Jhapa,391,322,0,87.91323301163462,26.58454270753889
3,1,Sunsari,186,118,0,87.17004295990401,26.65061352129045
4,1,Udayapur,97,82,0,86.68134767726373,26.90308014899322
5,1,Ilam,80,28,0,87.90156852180151,26.881160914669856
6,1,Okhaldhunga,23,19,0,86.41865849345893,27.329502044267212
7,1,Dhankuta,16,15,0,87.33094988258415,26.990930640958236
8,1,Khotang,16,15,0,86.78703712216247,27.16810228051496
9,1,Taplejung,15,7,0,87.82179927135704,27.58212356597509
10,1,Terhathum,10,8,0,87.5489515139999,27.15438825157303
11,1,Solukhumbu,9,7,0,86.72051571046595,27.71052185331256
12,1,Panchthar,8,7,0,87.77579807095165,27.114999613984395
13,1,Bhojpur,8,6,0,87.06789158534279,27.181814756262927
14,1,Sankhuwasabha,6,6,0,87.2782123206502,27.58212973365446
15,2,Rautahat,1537,750,2,85.30233086363795,27.00157408229383
16,2,Parsa,995,176,16,84.7801630348537,27.239687355458578
17,2,Mahottari,908,344,0,85.81991252749117,26.87913299056696
18,2,Sarlahi,830,628,2,85.56531220869545,26.986159229293165
19,2,Dhanusa,780,580,4,86.03388019638834,26.82874155006638
20,2,Saptari,556,353,2,86.7461376563257,26.598120783222694
21,2,Bara,274,141,3,85.07064142997248,27.10795953654191
22,2,Siraha,266,192,1,86.34242043781619,26.74645805665663
23,3,Kathmandu,765,110,4,85.34735132692755,27.728201081500877
24,3,Dhading,152,125,0,84.96016032720414,27.95470746839677
25,3,Lalitpur,133,30,1,85.34268866827021,27.53968576100482
26,3,Chitwan,130,81,2,84.43453047394196,27.584942259802776
27,3,Bhaktapur,82,31,0,85.44078719752078,27.677690383606485
28,3,Sindhupalchok,71,35,2,85.73962867740835,27.91497245528677
29,3,Makwanpur,53,21,0,85.07919101599765,27.46996511067159
30,3,Nuwakot,50,21,0,85.23538711779086,27.915073265545026
31,3,Ramechhap,41,20,0,86.17737024301981,27.51361408075647
32,3,Kavrepalanchok,27,23,0,85.61948290583136,27.535356393143648
33,3,Sindhuli,22,17,0,85.94376814650762,27.20146689162705
34,3,Dolakha,13,9,1,86.19861865752415,27.785721137068425
35,3,Rasuwa,12,11,0,85.41594692791568,28.183248202537012
37,4,Syangja,307,192,2,83.80321443774628,28.0211067236042
38,4,Baglung,250,220,1,83.25046309844504,28.347502509289278
40,4,Kaski,165,104,0,83.9973481375455,28.354946496492463
41,4,Gorkha,136,100,1,84.79017695666025,28.318827196979157
42,4,Lamjung,119,93,0,84.43005349109238,28.289315668818336
43,4,Parbat,103,92,0,83.67889009696688,28.21130031987063
44,4,Myagdi,50,41,1,83.45999324326222,28.55314670436513
45,4,Manang,1,1,0,84.22451544738435,28.672919154212924
46,4,Mustang,1,1,0,83.85787282576845,28.981314491461877
48,5,Dang,702,559,1,82.41038219013221,27.9641441834616
49,5,Palpa,568,556,1,83.62365185219312,27.81737243284483
50,5,Banke,508,415,2,81.82228931219758,28.087169830604648
51,5,Gulmi,379,350,3,83.30702478352003,28.0938944697723
52,5,Rupandehi,365,311,1,83.38955026950569,27.57667811567025
53,5,Arghakhanchi,345,320,1,83.07931919696372,27.908546382344674
54,5,Pyuthan,343,331,0,82.86502527526966,28.11545386122936
55,5,Bardiya,256,200,0,81.40151534237341,28.383668908446907
57,5,Rolpa,73,51,0,82.62805588402239,28.3441663491406
59,6,Dailekh,945,805,1,81.67887551495463,28.881388856821488
60,6,Surkhet,595,551,2,81.58640782129241,28.641183310260917
61,6,Salyan,270,193,0,82.13874784335462,28.39649855398913
62,6,Kalikot,77,54,0,81.75203278875941,29.195115462213877
63,6,Jumla,72,68,0,82.21726673306102,29.2717137976417
65,6,Jajarkot,27,12,0,82.16787118974287,28.865380352837356
66,6,Mugu,12,4,0,82.37059299567566,29.618074811643748
67,6,Dolpa,5,2,1,83.05217011480939,29.170655636885265
68,6,Humla,4,2,0,81.87986556263559,30.032322376583448
69,7,Kailali,1266,530,4,80.87922460540291,28.741641922944602
70,7,Doti,760,537,0,80.89456957808088,29.16964209002901
71,7,Achham,729,556,1,81.29711239175032,29.11256817441899
72,7,Bajura,622,253,1,81.56316251291287,29.561322426006946
73,7,Kanchanpur,571,483,0,80.32179602711126,28.861823786795433
74,7,Baitadi,320,300,0,80.5715166401557,29.507541031228143
75,7,Dadeldhura,309,267,0,80.48906942024193,29.223121930278026
76,7,Bajhang,292,107,1,81.17871770328547,29.70824516295018
77,7,Darchula,39,13,0,80.7918926088294,29.89194957501019
